IMDB Data Dump ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Current IMDB data is available at https://www.imdb.com/interfaces/,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATA BEGINS BELOW:,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
director name,num_critic_for_reviews,duration,director_facebook likes,actor_3 facebook_likes,actor_2_name,actor_1 facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie facebook_likes
Chris Weitz,251.0,113.0,129,1000,Eva Green,16000,70083519,Adventure,Christopher Lee,The Golden Compass,149019,24106,Kristin Scott Thomas,2,666,English,USA,PG-13,180000000,2007,6000,6.1,2.35,0
Anthony Russo,516.0,147.0,94,11000,Scarlett Johansson,21000,407197282,Action,Robert Downey Jr.,Captain America: Civil War,272670,64798,Chris Evans,0,1022,English,USA,PG-13,250000000,2016,19000,8.2,2.35,72000
Peter Berg,377.0,131.0,532,627,Alexander Skarsg�rd,14000,65173160,Action,Liam Neeson,Battleship,202382,26679,Tadanobu Asano,0,751,English,USA,PG-13,209000000,2012,10000,5.9,2.35,44000
Colin Trevorrow,644.0,124.0,365,1000,Judy Greer,3000,652177271,Action,Bryce Dallas Howard,Jurassic World,418214,8458,Omar Sy,0,1290,English,USA,PG-13,150000000,2015,2000,7.0,2.0,150000
Shane Black,608.0,195.0,1000,3000,Jon Favreau,21000,408992272,Action,Robert Downey Jr.,Iron Man 3,557489,30426,Don Cheadle,3,1187,English,USA,PG-13,200000000,2013,4000,7.2,2.35,95000
Tim Burton,451.0,108.0,13000,11000,Alan Rickman,40000,334185206,Adventure,Johnny Depp,Alice in Wonderland,306320,79957,Anne Hathaway,0,736,English,USA,PG,200000000,2010,25000,6.5,1.85,24000
Brett Ratner,334.0,104.0,420,560,Kelsey Grammer,20000,234360014,Action,Hugh Jackman,X-Men: The Last Stand,383427,21714,Daniel Cudmore,0,1912,English,Canada,PG-13,210000000,2006,808,6.8,2.35,0
Dan Scanlon,376.0,104.0,37,760,Tyler Labine,12000,268488329,Adventure,Steve Buscemi,Monsters University,235025,14863,Sean Hayes,0,265,English,USA,G,200000000,2013,779,7.3,1.85,44000
Marc Webb,495.0,142.0,464,825,Andrew Garfield,15000,202853933,Action,Emma Stone,The Amazing Spider-Man 2,321227,28631,B.J. Novak,0,1067,English,USA,PG-13,200000000,2014,10000,6.7,2.35,41000
Joseph Kosinski,469.0,125.0,364,1000,Olivia Wilde,12000,172051787,Action,Jeff Bridges,TRON: Legacy,264183,25550,James Frain,0,665,English,USA,PG,170000000,2010,10000,6.8,2.35,30000
John Lasseter,304.0,106.0,487,776,Thomas Kretschmann,1000,191450875,Adventure,Joe Mantegna,Cars 2,101178,4482,Eddie Izzard,0,283,English,USA,G,200000000,2011,919,6.3,2.35,10000
Martin Campbell,436.0,123.0,258,326,Temuera Morrison,16000,116593191,Action,Ryan Reynolds,Green Lantern,223393,17657,Taika Waititi,2,550,English,USA,PG-13,200000000,2011,368,5.6,2.35,24000
Lee Unkrich,453.0,103.0,125,721,John Ratzenberger,15000,414984497,Adventure,Tom Hanks,Toy Story 3,544884,19085,Don Rickles,3,733,English,USA,G,200000000,2010,1000,8.3,1.85,30000
McG,422.0,118.0,368,988,Bryce Dallas Howard,23000,125320003,Action,Christian Bale,Terminator Salvation,286095,27468,Common,0,974,English,USA,PG-13,200000000,2009,3000,6.6,2.35,0
Marc Forster,654.0,123.0,395,1000,Brad Pitt,17000,202351611,Action,Peter Capaldi,World War Z,465019,32392,Mireille Enos,0,995,English,USA,PG-13,190000000,2013,11000,7.0,2.35,129000
J.J. Abrams,590.0,132.0,14000,928,Bruce Greenwood,19000,228756232,Action,Benedict Cumberbatch,Star Trek Into Darkness,395573,21411,Noel Clarke,0,1171,English,USA,PG-13,190000000,2013,981,7.8,2.35,92000
Baz Luhrmann,490.0,143.0,1000,77,Elizabeth Debicki,29000,144812796,Drama,Leonardo DiCaprio,The Great Gatsby,362912,29770,Steve Bisley,4,753,English,Australia,PG-13,105000000,2013,509,7.3,2.35,115000
Mike Newell,306.0,116.0,179,236,Richard Coyle,15000,90755643,Action,Jake Gyllenhaal,Prince of Persia: The Sands of Time,222403,16149,Reece Ritchie,2,453,English,USA,PG-13,200000000,2010,567,6.6,2.35,23000
Steven Spielberg,470.0,122.0,14000,1000,Ray Winstone,11000,317011114,Action,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,333847,14959,Jim Broadbent,2,2054,English,USA,PG-13,185000000,2008,1000,6.2,2.35,5000
Mark Andrews,488.0,93.0,56,838,John Ratzenberger,2000,237282182,Adventure,Kelly Macdonald,Brave,273556,5005,Julie Walters,0,428,English,USA,PG,185000000,2012,1000,7.2,2.35,39000
Justin Lin,322.0,122.0,681,105,Melissa Roxburgh,998,130468626,Action,Sofia Boutella,Star Trek Beyond,53607,1327,Lydia Wilson,4,432,English,USA,PG-13,185000000,2016,119,7.5,2.35,30000
Andrew Stanton,421.0,98.0,475,522,Fred Willard,1000,223806889,Adventure,John Ratzenberger,WALL�E,718837,2975,Jeff Garlin,0,1043,English,USA,G,180000000,2008,729,8.4,2.35,16000
Brett Ratner,162.0,91.0,420,173,Dana Ivey,268,140080850,Action,Tzi Ma,Rush Hour 3,121084,1125,No�mie Lenoir,2,221,English,USA,PG-13,140000000,2007,268,6.2,2.35,0
Roland Emmerich,367.0,158.0,776,310,Liam James,1000,166112167,Action,Oliver Platt,2012,283418,2144,Tom McCarthy,0,1055,English,USA,PG-13,200000000,2009,468,5.8,2.35,13000
David Yates,248.0,110.0,282,103,Alexander Skarsg�rd,11000,124051759,Action,Christoph Waltz,The Legend of Tarzan,42372,21175,Casper Crump,2,239,English,USA,PG-13,180000000,2016,10000,6.6,2.35,29000
Andrew Adamson,284.0,150.0,80,82,Kiran Shah,1000,291709845,Adventure,Jim Broadbent,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,286506,1317,Shane Rangi,5,1463,English,USA,PG,180000000,2005,190,6.9,2.35,0
Christopher Nolan,645.0,152.0,22000,11000,Heath Ledger,23000,533316061,Action,Christian Bale,The Dark Knight,1676169,57802,Morgan Freeman,0,4667,English,USA,PG-13,185000000,2008,13000,9.0,2.35,37000
Rob Letterman,219.0,94.0,11,459,Rainn Wilson,1000,198332128,Action,Amy Poehler,Monsters vs. Aliens,114553,2579,Stephen Colbert,2,187,English,USA,PG,175000000,2009,973,6.5,2.35,0
Jon Favreau,486.0,126.0,4000,4000,Jeff Bridges,21000,318298180,Action,Robert Downey Jr.,Iron Man,696338,39252,Jon Favreau,3,1055,English,USA,PG-13,140000000,2008,12000,7.9,2.35,10000
Martin Scorsese,682.0,126.0,17000,1000,Christopher Lee,17000,73820094,Adventure,Chlo� Grace Moretz,Hugo,245333,36017,Ray Winstone,0,678,English,USA,PG,170000000,2011,16000,7.5,1.85,42000
Barry Sonnenfeld,85.0,106.0,188,582,Salma Hayek,10000,113745408,Action,Will Smith,Wild Wild West,129601,15870,Bai Ling,2,648,English,USA,PG-13,170000000,1999,4000,4.8,1.85,0
Rob Cohen,264.0,112.0,357,595,Brendan Fraser,5000,102176165,Action,Jet Li,The Mummy: Tomb of the Dragon Emperor,117927,9131,Russell Wong,2,501,English,USA,PG-13,145000000,2008,3000,5.2,2.35,0
David Ayer,418.0,123.0,452,329,Robin Atkin Downes,10000,161087183,Action,Will Smith,Suicide Squad,118992,11287,Ike Barinholtz,8,971,English,USA,PG-13,175000000,2016,336,6.9,2.35,80000
Tom Shadyac,186.0,96.0,293,7000,Morgan Freeman,87000,100289690,Comedy,Jimmy Bennett,Evan Almighty,115099,108016,Steve Carell,0,257,English,USA,PG,175000000,2007,11000,5.4,2.35,2000
Doug Liman,585.0,113.0,218,509,Lara Pulver,10000,100189501,Action,Tom Cruise,Edge of Tomorrow,431620,12652,Noah Taylor,1,741,English,USA,PG-13,178000000,2014,854,7.9,2.35,77000
Kevin Reynolds,91.0,176.0,58,60,Rick Aviles,711,88246220,Action,Jeanne Tripplehorn,Waterworld,144337,1004,Zakes Mokae,0,309,English,USA,PG-13,175000000,1995,60,6.1,1.85,0
Stephen Sommers,250.0,118.0,208,570,Dennis Quaid,23000,150167630,Action,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra,174578,26683,Leo Howard,4,534,English,USA,PG-13,175000000,2009,2000,5.8,2.35,0
Jon Favreau,370.0,106.0,4000,591,Bill Murray,19000,362645141,Adventure,Scarlett Johansson,The Jungle Book,106072,32921,Garry Shandling,0,398,English,UK,PG,175000000,2016,13000,7.8,1.85,65000
Jon Favreau,453.0,124.0,4000,4000,Scarlett Johansson,21000,312057433,Action,Robert Downey Jr.,Iron Man 2,522371,48638,Jon Favreau,4,723,English,USA,PG-13,200000000,2010,19000,7.0,2.35,18000
Rupert Sanders,416.0,132.0,274,11000,Kristen Stewart,26000,155111815,Action,Chris Hemsworth,Snow White and the Huntsman,228554,72881,Sam Claflin,0,710,English,USA,PG-13,170000000,2012,17000,6.1,2.35,53000
Robert Stromberg,401.0,97.0,171,846,Sharlto Copley,11000,241407328,Action,Angelina Jolie Pitt,Maleficent,252257,15516,Sam Riley,2,634,English,USA,PG,180000000,2014,2000,7.0,2.35,89000
Matt Reeves,521.0,130.0,198,884,Judy Greer,10000,208543795,Action,Gary Oldman,Dawn of the Planet of the Apes,317542,14363,Kodi Smit-McPhee,0,620,English,USA,PG-13,170000000,2014,2000,7.6,1.85,45000
Carl Rinsch,218.0,128.0,47,982,Cary-Hiroyuki Tagawa,18000,38297305,Action,Keanu Reeves,47 Ronin,116994,20965,Jin Akanishi,2,324,English,USA,PG-13,175000000,2013,1000,6.3,2.35,35000
Anthony Russo,576.0,136.0,94,2000,Chris Evans,19000,259746958,Action,Scarlett Johansson,Captain America: The Winter Soldier,496749,36188,Hayley Atwell,1,742,English,USA,PG-13,170000000,2014,11000,7.8,2.35,55000
Mike Mitchell,226.0,93.0,31,213,Kathy Griffin,4000,238371987,Adventure,Jon Hamm,Shrek Forever After,138661,4628,Mary Kay Place,2,173,English,USA,PG,165000000,2010,225,6.4,2.35,0
Brad Bird,443.0,130.0,663,604,Chris Bauer,2000,93417865,Action,Judy Greer,Tomorrowland,128306,5046,Thomas Robinson,2,497,English,USA,PG,190000000,2015,638,6.5,2.2,37000
Don Hall,384.0,102.0,38,562,Daniel Henney,756,222487711,Action,Damon Wayans Jr.,Big Hero 6,279093,2963,Abraham Benrubi,0,433,English,USA,PG,165000000,2014,719,7.9,2.39,41000
Rich Moore,377.0,101.0,66,833,Sarah Silverman,975,189412677,Adventure,Jack McBrayer,Wreck-It Ralph,272534,4451,Joe Lo Truglio,1,345,English,USA,PG,165000000,2012,931,7.8,2.35,40000
Roland Emmerich,286.0,120.0,776,535,Sela Ward,890,102315545,Action,Vivica A. Fox,Independence Day: Resurgence,58137,3233,Judd Hirsch,0,520,English,USA,PG-13,165000000,2016,812,5.5,2.35,67000
Dean DeBlois,288.0,98.0,255,759,America Ferrera,18000,217387997,Adventure,Gerard Butler,How to Train Your Dragon,485430,20453,Craig Ferguson,0,492,English,USA,PG,165000000,2010,953,8.2,2.35,33000
Jonathan Mostow,280.0,109.0,84,191,M.C. Gainey,648,150350192,Action,Nick Stahl,Terminator 3: Rise of the Machines,305340,1769,Carolyn Hennesy,0,1676,English,USA,R,200000000,2003,284,6.4,2.35,0
James Gunn,653.0,121.0,571,3000,Vin Diesel,14000,333130696,Action,Bradley Cooper,Guardians of the Galaxy,682155,32438,Djimon Hounsou,3,1097,English,USA,PG-13,170000000,2014,14000,8.1,2.35,96000
Christopher Nolan,712.0,169.0,22000,6000,Anne Hathaway,11000,187991439,Adventure,Matthew McConaughey,Interstellar,928227,31488,Mackenzie Foy,1,2725,English,USA,PG-13,165000000,2014,11000,8.6,2.35,349000
Christopher Nolan,642.0,148.0,22000,23000,Tom Hardy,29000,292568851,Action,Leonardo DiCaprio,Inception,1468200,81115,Joseph Gordon-Levitt,0,2803,English,USA,PG-13,160000000,2010,27000,8.8,2.35,175000
Rob Cohen,187.0,106.0,357,4000,Vin Diesel,23000,144512310,Action,Paul Walker,The Fast and the Furious,272223,45327,Jordana Brewster,2,988,English,USA,PG-13,38000000,2001,14000,6.7,2.35,14000
David Fincher,362.0,166.0,21000,919,Jason Flemyng,11000,127490802,Drama,Brad Pitt,The Curious Case of Benjamin Button,459346,13333,Julia Ormond,2,822,English,USA,PG-13,150000000,2008,1000,7.8,2.35,23000
Matthew Vaughn,500.0,132.0,905,1000,Michael Fassbender,34000,146405371,Action,Jennifer Lawrence,X-Men: First Class,518537,50983,Oliver Platt,3,698,English,USA,PG-13,160000000,2011,13000,7.8,2.35,54000
Francis Lawrence,389.0,137.0,508,14000,Philip Seymour Hoffman,34000,281666058,Adventure,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2,166137,81385,Josh Hutcherson,1,383,English,USA,PG-13,160000000,2015,22000,6.6,2.35,38000
Jon Turteltaub,235.0,109.0,226,370,Omar Benson Miller,12000,63143812,Action,Nicolas Cage,The Sorcerer's Apprentice,124185,13388,Robert Capron,0,238,English,USA,PG,150000000,2010,418,6.1,2.35,11000
Wolfgang Petersen,231.0,98.0,249,702,Mike Vogel,87000,60655503,Action,Jimmy Bennett,Poseidon,82380,92456,Andre Braugher,0,629,English,USA,PG-13,160000000,2006,2000,5.6,2.35,0
James Bobin,218.0,113.0,33,11000,Alan Rickman,40000,76846624,Adventure,Johnny Depp,Alice Through the Looking Glass,21352,80806,Anne Hathaway,1,131,English,USA,PG,170000000,2016,25000,6.4,1.85,30000
Chris Miller,227.0,93.0,50,692,Eric Idle,3000,320706665,Adventure,Justin Timberlake,Shrek the Third,211971,4705,Rupert Everett,2,326,English,USA,PG,160000000,2007,795,6.1,1.85,0
Alan Taylor,474.0,126.0,230,2000,Emilia Clarke,24000,89732035,Action,J.K. Simmons,Terminator Genisys,188457,38873,Matt Smith,2,867,English,USA,PG-13,155000000,2015,10000,6.6,2.35,82000
Michael Apted,228.0,113.0,150,59,Shane Rangi,531,104383624,Adventure,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader,106446,764,Laura Brent,4,227,English,USA,PG,155000000,2010,82,6.3,1.78,11000
David Yates,329.0,138.0,282,687,Daniel Radcliffe,21000,292000866,Adventure,Robert Pattinson,Harry Potter and the Order of the Phoenix,355137,33433,Fiona Shaw,3,1108,English,UK,PG-13,150000000,2007,11000,7.5,2.35,0
Mike Newell,295.0,157.0,179,10000,Daniel Radcliffe,21000,289994397,Adventure,Robert Pattinson,Harry Potter and the Goblet of Fire,385670,53413,Rupert Grint,1,1896,English,UK,PG-13,150000000,2005,11000,7.6,2.35,0
Peter Berg,318.0,102.0,532,979,Charlize Theron,10000,227946274,Action,Will Smith,Hancock,343648,21584,Eddie Marsan,0,590,English,USA,PG-13,150000000,2008,9000,6.4,2.35,0
Francis Lawrence,323.0,104.0,508,558,Alice Braga,10000,256386216,Drama,Will Smith,I Am Legend,530870,13076,Willow Smith,0,1413,English,USA,PG-13,150000000,2007,1000,7.2,2.35,11000
Tim Burton,276.0,115.0,13000,588,Christopher Lee,40000,206456431,Adventure,Johnny Depp,Charlie and the Chocolate Factory,320284,57844,David Kelly,3,1361,English,USA,PG,150000000,2005,16000,6.7,1.85,0
Brad Bird,318.0,111.0,663,954,John Ratzenberger,1000,206435493,Animation,Janeane Garofalo,Ratatouille,473887,4764,Brian Dennehy,0,626,English,USA,G,150000000,2007,1000,8.0,2.35,10000
Christopher Nolan,478.0,128.0,22000,11000,Liam Neeson,23000,205343774,Action,Christian Bale,Batman Begins,980946,59558,Morgan Freeman,0,2685,English,USA,PG-13,150000000,2005,14000,8.3,2.35,15000
Eric Darnell,167.0,89.0,35,436,Jada Pinkett Smith,1000,179982968,Action,Bernie Mac,Madagascar: Escape 2 Africa,146019,3285,Cedric the Entertainer,0,119,English,USA,PG,150000000,2008,851,6.7,1.85,0
Shawn Levy,185.0,105.0,189,1000,Rami Malek,49000,177243721,Adventure,Robin Williams,Night at the Museum: Battle of the Smithsonian,130272,54039,Steve Coogan,2,209,English,USA,PG,150000000,2009,3000,5.9,2.35,2000
Gavin Hood,350.0,119.0,151,2000,Ryan Reynolds,20000,179883016,Action,Hugh Jackman,X-Men Origins: Wolverine,361924,40054,Dominic Monaghan,0,641,English,USA,PG-13,150000000,2009,16000,6.7,2.35,0
Chris Buck,406.0,102.0,69,490,Maurice LaMarche,1000,400736600,Adventure,Josh Gad,Frozen,421658,2582,Livvy Stubenrauch,0,904,English,USA,PG,150000000,2013,523,7.6,2.24,58000
Alan Taylor,486.0,112.0,230,12000,Natalie Portman,26000,206360018,Action,Chris Hemsworth,Thor: The Dark World,414070,59803,Anthony Hopkins,3,532,English,USA,PG-13,170000000,2013,20000,7.1,2.35,63000
George Miller,739.0,120.0,750,943,Charlize Theron,27000,153629485,Action,Tom Hardy,Mad Max: Fury Road,552503,40025,Zo� Kravitz,0,1588,English,Australia,R,150000000,2015,9000,8.1,2.35,191000
Ron Howard,298.0,146.0,2000,294,Ayelet Zurer,15000,133375846,Mystery,Tom Hanks,Angels & Demons,207839,16948,Armin Mueller-Stahl,2,435,English,USA,PG-13,150000000,2009,745,6.7,2.35,0
Byron Howard,225.0,96.0,59,699,Diedrich Bader,17000,114053579,Adventure,Chlo� Grace Moretz,Bolt,146766,20007,James Lipton,0,178,English,USA,PG,150000000,2008,759,6.9,1.85,0
Hoyt Yeatman,145.0,88.0,12,182,Piper Mackenzie Harris,730,119420252,Action,Kelli Garner,G-Force,33042,2217,Niecy Nash,0,90,English,USA,PG,150000000,2009,607,5.1,2.35,0
Jonathan Liebesman,310.0,99.0,473,502,Edgar Ram�rez,14000,83640426,Action,Liam Neeson,Wrath of the Titans,152826,16184,Lily James,0,253,English,USA,PG-13,150000000,2012,897,5.8,1.85,19000
Tim Burton,526.0,113.0,13000,16000,Chlo� Grace Moretz,40000,79711678,Comedy,Johnny Depp,Dark Shadows,199039,80849,Christopher Lee,7,479,English,USA,PG-13,100000000,2012,17000,6.2,1.85,82000
Christopher McQuarrie,465.0,131.0,188,641,Jeremy Renner,10000,195000874,Action,Tom Cruise,Mission: Impossible - Rogue Nation,232187,21840,Sean Harris,0,440,English,China,PG-13,150000000,2015,10000,7.4,2.35,47000
Joe Johnston,357.0,119.0,394,162,Simon Merrells,12000,61937495,Drama,Anthony Hopkins,The Wolfman,89442,13071,Art Malik,0,432,English,USA,R,150000000,2010,490,5.8,1.85,0
Steve Hickner,194.0,91.0,58,826,Oprah Winfrey,2000,126597121,Adventure,Matthew Broderick,Bee Movie,105902,6576,Rip Torn,0,206,English,USA,PG,150000000,2007,852,6.2,1.85,0
Jennifer Yuh Nelson,284.0,90.0,90,15,Gary Oldman,11000,165230261,Action,Angelina Jolie Pitt,Kung Fu Panda 2,182718,21015,Mike Bell,0,209,English,USA,PG,150000000,2011,10000,7.3,2.35,20000
J.J. Abrams,310.0,124.0,14000,979,Tom Cruise,22000,133382309,Action,Philip Seymour Hoffman,Mission: Impossible III,256695,34817,Eddie Marsan,0,871,English,USA,PG-13,150000000,2006,10000,6.9,2.35,0
Roland Emmerich,339.0,131.0,776,256,Jake Weber,17000,73103784,Action,Channing Tatum,White House Down,164238,18204,Matt Craven,2,434,English,USA,PG-13,150000000,2013,551,6.4,2.35,33000
Simon Wells,132.0,88.0,25,433,Dan Fogler,921,21379315,Action,Elisabeth Harnois,Mars Needs Moms,17590,2652,Tom Everett Scott,0,112,English,USA,PG,150000000,2011,562,5.4,2.35,0
David Bowers,135.0,85.0,42,586,Kate Winslet,20000,64459316,Adventure,Hugh Jackman,Flushed Away,85086,35161,David Suchet,0,122,English,UK,PG,149000000,2006,14000,6.7,1.85,0
Joe Wright,256.0,111.0,456,394,Cara Delevingne,20000,34964818,Adventure,Hugh Jackman,Pan,39956,21393,Nonso Anozie,4,186,English,USA,PG,150000000,2015,548,5.8,2.35,24000
Rob Minkoff,196.0,92.0,50,517,Zach Callison,3000,111505642,Adventure,Ty Burrell,Mr. Peabody & Sherman,47900,5810,Karan Brar,2,130,English,USA,PG,145000000,2014,1000,6.9,1.85,11000
Wolfgang Petersen,220.0,196.0,249,844,Orlando Bloom,11000,133228348,Adventure,Brad Pitt,Troy,381672,17944,Julian Glover,2,1694,English,USA,R,175000000,2004,5000,7.2,2.35,0
Eric Darnell,211.0,93.0,35,436,Martin Short,851,216366733,Adventure,Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted,119213,2444,Cedric the Entertainer,0,154,English,USA,PG,145000000,2012,770,6.9,1.85,17000
Lee Tamahori,264.0,133.0,93,746,Colin Salmon,769,160201106,Action,Toby Stephens,Die Another Day,169914,2538,Rick Yune,0,1185,English,UK,PG-13,142000000,2002,766,6.1,2.35,0
Paul Feig,464.0,116.0,176,322,Kate McKinnon,783,118099659,Action,Ed Begley Jr.,Ghostbusters,69757,2097,Zach Woods,4,1211,English,USA,PG-13,144000000,2016,370,5.5,2.35,62000
Barry Sonnenfeld,208.0,88.0,188,826,Rosario Dawson,10000,190418803,Action,Will Smith,Men in Black II,270207,14823,Rip Torn,2,606,English,USA,PG-13,140000000,2002,3000,6.1,1.85,2000
Alessandro Carloni,210.0,95.0,5,967,Angelina Jolie Pitt,24000,143523463,Action,J.K. Simmons,Kung Fu Panda 3,64322,36095,Wayne Knight,0,145,English,USA,PG,145000000,2016,11000,7.2,2.35,24000
Brad Bird,432.0,133.0,663,690,Jeremy Renner,10000,209364921,Action,Tom Cruise,Mission: Impossible - Ghost Protocol,365104,21768,Michael Nyqvist,3,512,English,USA,PG-13,145000000,2011,10000,7.4,2.35,35000
Peter Ramsey,256.0,97.0,52,161,Kamil McFadden,20000,103400692,Adventure,Hugh Jackman,Rise of the Guardians,123553,20645,Khamani Griffin,0,174,English,USA,PG,145000000,2012,315,7.3,1.85,25000
Dean Parisot,135.0,90.0,23,233,Richard Burgi,957,110332737,Comedy,John Michael Higgins,Fun with Dick and Jane,110788,1997,David Herman,1,258,English,USA,PG-13,100000000,2005,550,6.1,2.35,2000
Edward Zwick,190.0,154.0,380,445,Tony Goldwyn,10000,111110575,Action,Tom Cruise,The Last Samurai,317166,11945,Chad Lindberg,1,928,English,USA,R,140000000,2003,956,7.7,2.35,0
J.J. Abrams,518.0,127.0,14000,981,Leonard Nimoy,26000,257704099,Action,Chris Hemsworth,Star Trek,504419,39284,Bruce Greenwood,0,1559,English,USA,PG-13,150000000,2009,12000,8.0,2.35,19000
Dean DeBlois,292.0,102.0,255,953,Djimon Hounsou,18000,176997107,Action,Gerard Butler,How to Train Your Dragon 2,221128,23378,America Ferrera,5,343,English,USA,PG,145000000,2014,3000,7.9,2.35,46000
Alex Proyas,184.0,126.0,295,284,Elodie Yung,18000,31141074,Action,Gerard Butler,Gods of Egypt,51892,19769,Bryan Brown,4,273,English,USA,PG-13,140000000,2016,934,5.5,2.35,24000
Rob Cohen,145.0,121.0,357,653,Joe Morton,820,31704416,Action,Sam Shepard,Stealth,45455,2705,Richard Roxburgh,0,388,English,USA,PG-13,135000000,2005,780,5.0,2.35,0
Richard Donner,141.0,127.0,503,91,Rene Russo,5000,129734803,Action,Jet Li,Lethal Weapon 4,127497,6171,Darlene Love,2,287,English,USA,R,140000000,1998,808,6.6,2.35,0
Jon M. Chu,351.0,122.0,209,934,Dwayne Johnson,17000,122512052,Action,Channing Tatum,G.I. Joe: Retaliation,146352,31958,Elodie Yung,6,288,English,USA,PG-13,130000000,2013,12000,5.8,2.35,42000
Breck Eisner,163.0,124.0,42,848,Rainn Wilson,11000,68642452,Action,Matthew McConaughey,Sahara,77673,13073,Delroy Lindo,3,463,English,UK,PG-13,130000000,2005,973,6.0,2.35,0
Hironobu Sakaguchi,166.0,106.0,6,422,Ming-Na Wen,12000,32131830,Action,Steve Buscemi,Final Fantasy: The Spirits Within,72259,15015,Jean Simmons,1,788,English,USA,PG-13,137000000,2001,2000,6.4,1.85,0
